id,CATEGORY,SENTIMENT,SCORE,REVLEN
140541,0.41,0.35,0.05,0.19
140542,0.41,0.35,0.06,0.18
140543,0.41,0.35,0.07,0.17
140544,0.41,0.35,0.08,0.16
140545,0.41,0.35,0.09,0.15
140546,0.41,0.35,0.1,0.14
140547,0.41,0.35,0.11,0.13
140548,0.41,0.35,0.12,0.12
140549,0.41,0.35,0.13,0.11
140550,0.41,0.35,0.14,0.1
140551,0.41,0.35,0.15,0.09
140552,0.41,0.35,0.16,0.08
140553,0.41,0.35,0.17,0.07
140554,0.41,0.35,0.18,0.06
140555,0.41,0.35,0.19,0.05
140556,0.41,0.35,0.2,0.04
140557,0.41,0.35,0.21,0.03
140558,0.41,0.35,0.22,0.02
140559,0.41,0.35,0.23,0.01
140560,0.41,0.35,0.24,0.0
140561,0.41,0.36,0.0,0.23
140562,0.41,0.36,0.01,0.22
140563,0.41,0.36,0.02,0.21
140564,0.41,0.36,0.03,0.2
140565,0.41,0.36,0.04,0.19
140566,0.41,0.36,0.05,0.18
140567,0.41,0.36,0.06,0.17
140568,0.41,0.36,0.07,0.16
140569,0.41,0.36,0.08,0.15
140570,0.41,0.36,0.09,0.14
140571,0.41,0.36,0.1,0.13
140572,0.41,0.36,0.11,0.12
140573,0.41,0.36,0.12,0.11
140574,0.41,0.36,0.13,0.1
140575,0.41,0.36,0.14,0.09
140576,0.41,0.36,0.15,0.08
140577,0.41,0.36,0.16,0.07
140578,0.41,0.36,0.17,0.06
140579,0.41,0.36,0.18,0.05
140580,0.41,0.36,0.19,0.04
140581,0.41,0.36,0.2,0.03
140582,0.41,0.36,0.21,0.02
140583,0.41,0.36,0.22,0.01
140584,0.41,0.36,0.23,0.0
140585,0.41,0.37,0.0,0.22
140586,0.41,0.37,0.01,0.21
140587,0.41,0.37,0.02,0.2
140588,0.41,0.37,0.03,0.19
140589,0.41,0.37,0.04,0.18
140590,0.41,0.37,0.05,0.17
140591,0.41,0.37,0.06,0.16
140592,0.41,0.37,0.07,0.15
140593,0.41,0.37,0.08,0.14
140594,0.41,0.37,0.09,0.13
140595,0.41,0.37,0.1,0.12
140596,0.41,0.37,0.11,0.11
140597,0.41,0.37,0.12,0.1
140598,0.41,0.37,0.13,0.09
140599,0.41,0.37,0.14,0.08
140600,0.41,0.37,0.15,0.07
140601,0.41,0.37,0.16,0.06
140602,0.41,0.37,0.17,0.05
140603,0.41,0.37,0.18,0.04
